NameYear,Name,Pos,Age,TeamOrTot,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Salary,ID,Team,SalClean,SalNorm
Miye_Oni_2021,Miye Oni,SG,24,UTA,16,0,2.8,0.1,0.6,.222,0.1,0.5,.125,0.1,0.1,1.000,.278,0.0,0.1,.000,0.1,0.4,0.4,0.3,0.0,0.0,0.1,0.4,0.3,.889,14.2,0.0,-7.9,-0.3,14.4,0.0,.111,-7.6,2.6,-0.1,0.4,0.0,9.6,8.7,.265,10.3,-0.1,0.0,-0.032,"$850,331",/players/o/onimi01.html,OKC,0.850331,
Cedi_Osman_2021,Cedi Osman,SF,26,CLE,66,3,22.2,3.7,8.7,.432,1.9,5.4,.357,1.8,3.2,.559,.544,1.3,2.0,.664,0.4,1.8,2.2,2.0,0.8,0.2,1.0,1.9,10.7,.628,14.1,0.6,0.2,0.5,9.0,1.6,.229,-0.3,1.9,1.3,13.3,1.8,9.6,5.5,.563,21.1,0.8,2.9,.094,"$8,050,000",/players/o/osmande01.html,CLE,8.05,
Daniel_Oturu_2021,Daniel Oturu,C,22,TOR,3,0,9.0,1.0,2.0,.500,0.0,0.3,.000,1.0,1.7,.600,.500,1.0,1.7,.600,0.3,1.3,1.7,0.0,0.0,0.7,0.0,0.3,3.0,.167,0.0,7.2,-5.2,-2.5,17.0,0.0,.833,-2.7,3.8,0.0,13.4,0.0,0.0,10.0,.549,13.0,0.0,0.1,.121,,/players/o/oturuda01.html,TOR,,
Kelly_Oubre_Jr_2021,Kelly Oubre Jr.,SF,26,CHO,76,13,26.3,5.4,12.3,.440,2.5,7.3,.345,2.9,5.0,.578,.542,1.7,2.5,.667,1.0,2.9,4.0,1.1,1.0,0.4,0.9,2.5,15.0,.593,6.2,1.5,-1.4,-1.6,12.0,1.4,.203,0.2,4.1,1.8,14.9,1.8,6.2,8.0,.560,23.0,0.3,3.3,.079,"$12,000,000",/players/o/oubreke01.html,CHO,12.0,
Jaysean_Paige_2021,Jaysean Paige,PG,27,DET,1,0,7.0,0.0,3.0,.000,0.0,2.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,.667,18.1,0.0,-31.5,-6.5,16.3,0.0,.000,-25.0,0.0,-0.1,-22.2,0.0,25.0,7.7,.000,24.5,0.0,-0.1,-0.574,,/players/p/paigeja01.html,DET,,
Trayvon_Palmer_2021,Trayvon Palmer,SG,27,DET,1,0,17.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,.000,0.0,0.0,-15.0,-1.8,13.4,0.0,.000,-13.1,0.0,-0.1,-5.7,0.0,50.0,6.4,.000,5.0,-0.1,0.0,-0.133,,/players/p/palmetr01.html,DET,,
Kevin_Pangos_2021,Kevin Pangos,PG,29,CLE,24,3,6.9,0.6,1.9,.326,0.3,1.1,.231,0.4,0.8,.450,.391,0.1,0.2,.750,0.1,0.4,0.5,1.3,0.1,0.0,0.3,0.5,1.6,.565,24.6,0.0,-6.1,-1.4,5.9,0.1,.087,-4.7,1.4,-0.1,6.5,0.9,12.8,3.7,.408,14.6,-0.2,0.1,.016,"$1,669,178",/players/p/pangoke01.html,CLE,1.669178,
Jabari_Parker_2021,Jabari Parker,PF,26,BOS,12,0,9.3,1.5,3.2,.474,0.7,1.3,.500,0.8,1.8,.455,.579,0.8,0.8,1.000,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4,.421,7.9,0.8,0.7,1.1,21.7,0.2,.237,-0.4,5.0,0.1,14.8,1.8,16.0,13.5,.632,19.6,0.1,0.3,.141,"$1,068,288",/players/p/parkeja01.html,BOS,1.068288,
Eric_Paschall_2021,Eric Paschall,PF,25,UTA,58,3,12.7,2.0,4.1,.485,0.7,1.9,.370,1.3,2.2,.583,.570,1.1,1.5,.767,0.5,1.3,1.8,0.6,0.2,0.1,0.5,0.9,5.8,.460,7.1,0.6,-0.5,-1.0,10.9,0.5,.366,0.5,4.6,1.4,13.9,0.6,9.0,7.9,.612,17.7,0.3,2.0,.128,"$1,782,621",/players/p/pascher01.html,UTA,1.782621,
Chris_Paul_2021,Chris Paul,PG,36,PHO,65,65,32.9,5.6,11.3,.493,1.0,3.1,.317,4.6,8.3,.559,.536,2.6,3.1,.837,0.3,4.0,4.4,10.8,1.9,0.3,2.4,2.1,14.7,.270,44.5,0.8,5.4,2.3,12.8,3.6,.274,3.1,1.1,5.8,20.8,2.7,15.6,7.1,.581,19.7,4.0,9.4,.210,"$30,800,000",/players/p/paulch01.html,PHO,30.8,
