,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
170,131,Dewayne Dedmon,C,32,MIA,67,15,15.9,2.4,4.3,.566,0.3,0.7,.404,2.2,3.6,.597,.598,1.1,1.5,.750,1.6,4.2,5.8,0.7,0.4,0.6,1.0,2.6,6.3,.162,6.7,4.2,-1.0,1.1,29.4,2.0,.345,-2.2,11.4,1.5,15.9,1.1,17.3,20.6,.632,16.9,0.3,3.5,.157
171,132,Sam Dekker,PF,27,TOR,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-9.6,-3.4,0.0,0.0,,-6.2,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.003
172,133,Javin DeLaurier,C,23,MIL,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,7.0,11.8,34.6,0.0,,-4.8,0.0,0.0,15.6,16.0,,17.7,,0.0,0.0,0.0,.260
173,134,DeMar DeRozan,PF,32,CHI,76,76,36.1,10.2,20.2,.504,0.7,1.9,.352,9.5,18.3,.520,.521,6.8,7.8,.877,0.7,4.4,5.2,4.9,0.9,0.3,2.4,2.3,27.9,.093,23.3,0.8,2.5,-0.9,13.7,1.8,.386,3.4,2.3,7.0,23.1,1.2,9.2,8.0,.590,31.8,3.1,8.8,.154
174,135,Mamadi Diakite,PF,25,OKC,13,3,14.5,1.9,3.6,.532,0.0,0.4,.000,1.9,3.2,.595,.532,0.5,0.8,.545,1.3,3.2,4.5,0.2,0.4,0.7,0.5,2.5,4.3,.106,1.6,4.5,-5.0,0.9,23.3,0.3,.234,-5.9,9.2,0.1,11.6,1.3,11.9,16.1,.540,13.5,-0.1,0.3,.080
175,136,Cheick Diallo,C,25,DET,3,0,10.3,1.0,2.7,.375,0.0,0.0,,1.0,2.7,.375,.375,1.7,2.0,.833,1.3,2.7,4.0,0.0,0.3,0.0,0.3,2.0,3.7,.000,0.0,0.0,-7.5,-3.3,29.4,0.0,.750,-4.2,13.3,0.0,12.3,1.6,8.6,20.9,.517,16.1,0.0,0.1,.108
176,137,Hamidou Diallo,SG,23,DET,58,29,21.9,4.5,9.1,.496,0.4,1.6,.247,4.1,7.5,.550,.518,1.6,2.4,.650,1.2,3.6,4.8,1.3,1.2,0.3,1.0,2.5,11.0,.177,9.8,1.2,-0.5,0.7,18.7,1.5,.266,-1.2,5.6,0.6,15.7,2.7,9.0,11.8,.541,21.8,0.5,2.1,.079
177,138,Gorgui Dieng,C,32,ATL,44,3,8.4,1.2,2.5,.473,0.7,1.5,.426,0.5,1.0,.545,.603,0.4,0.6,.731,0.7,2.0,2.8,0.8,0.3,0.3,0.5,1.2,3.5,.607,12.7,3.1,2.1,0.8,26.1,0.4,.232,1.4,9.5,0.8,17.3,1.5,13.9,17.8,.624,16.9,0.4,1.2,.155
178,139,Spencer Dinwiddie,PG,28,TOT,67,51,29.6,4.6,11.0,.416,1.7,4.9,.339,2.9,6.0,.479,.493,2.9,3.8,.774,0.7,3.5,4.2,5.2,0.7,0.2,1.6,2.2,13.7,.449,25.7,0.6,0.3,-0.4,13.0,1.4,.343,0.8,2.6,2.7,15.1,1.1,10.9,7.8,.543,21.4,1.1,4.1,.098
179,139,Spencer Dinwiddie,PG,28,WAS,44,44,30.2,4.2,11.2,.376,1.6,5.1,.310,2.6,6.0,.432,.447,2.6,3.3,.811,0.8,3.9,4.7,5.8,0.6,0.2,1.7,2.4,12.6,.459,27.5,0.4,-0.9,-0.7,14.0,0.7,.291,-0.3,3.0,0.9,13.2,1.0,11.6,8.6,.501,21.0,0.3,1.6,.058
180,139,Spencer Dinwiddie,PG,28,DAL,23,7,28.3,5.3,10.6,.498,1.8,4.5,.404,3.4,6.0,.568,.584,3.4,4.7,.725,0.4,2.7,3.1,3.9,0.7,0.3,1.3,1.9,15.8,.428,22.0,0.8,2.9,0.1,10.8,0.7,.449,2.8,1.5,1.8,19.0,1.3,9.6,6.2,.624,22.3,0.8,2.5,.182
181,140,Donte DiVincenzo,SG,25,TOT,42,1,24.0,2.8,8.0,.351,1.8,5.2,.339,1.0,2.8,.373,.461,1.7,2.0,.843,1.0,3.1,4.0,2.8,1.1,0.2,1.7,1.6,9.0,.649,16.1,0.7,-2.3,-0.5,14.0,0.9,.247,-1.8,4.3,-0.1,11.3,2.3,16.2,9.1,.510,18.9,-0.1,0.7,.035
182,140,Donte DiVincenzo,SG,25,MIL,17,0,20.1,2.3,6.9,.331,1.2,4.4,.284,1.1,2.6,.409,.419,1.4,1.6,.852,1.1,2.5,3.5,1.7,0.6,0.2,1.6,1.5,7.2,.627,11.3,0.8,-5.5,-1.6,12.8,0.3,.229,-3.8,5.7,-0.4,7.9,1.5,17.7,9.3,.470,19.8,-0.3,-0.1,-0.009
183,140,Donte DiVincenzo,SG,25,SAC,25,1,26.6,3.2,8.7,.362,2.1,5.8,.368,1.0,3.0,.351,.484,1.9,2.2,.839,0.9,3.5,4.4,3.6,1.5,0.2,1.8,1.7,10.3,.661,18.6,0.7,-0.6,0.1,14.5,0.6,.257,-0.8,3.6,0.2,13.0,2.7,15.4,9.0,.532,18.5,0.2,0.8,.058
184,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
185,141,Luka Dončić,PG,22,DAL,65,65,35.4,9.9,21.6,.457,3.1,8.8,.353,6.8,12.8,.528,.529,5.6,7.5,.744,0.9,8.3,9.1,8.7,1.2,0.6,4.5,2.2,28.4,.406,46.0,1.4,8.2,1.8,26.0,3.8,.349,6.4,2.7,3.8,25.1,1.6,15.3,14.3,.571,37.4,5.9,7.6,.159
186,142,Luguentz Dort,SF,22,OKC,51,51,32.6,5.7,14.2,.404,2.5,7.7,.332,3.2,6.6,.487,.493,3.2,3.7,.843,0.7,3.4,4.2,1.7,0.9,0.4,1.7,2.9,17.2,.539,8.6,1.0,-2.3,-0.7,10.9,1.1,.263,-1.5,2.3,0.2,12.3,1.3,9.8,6.5,.541,23.3,-0.1,1.4,.040
187,143,Ayo Dosunmu,SG,22,CHI,77,40,27.4,3.6,6.9,.520,0.9,2.4,.376,2.7,4.5,.596,.585,0.7,1.0,.679,0.4,2.4,2.8,3.3,0.8,0.4,1.4,2.4,8.8,.348,16.5,1.2,-2.0,-0.1,9.9,1.3,.146,-1.9,1.4,1.7,11.2,1.4,15.9,5.7,.596,14.1,0.0,3.0,.069
188,144,Damyean Dotson,SG,27,NYK,2,0,10.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,2.0,.250,6.9,0.0,-4.9,-1.2,10.4,0.0,.000,-3.7,0.0,0.0,6.4,0.0,0.0,5.1,.500,8.3,0.0,0.0,.045
189,145,Devon Dotson,PG,22,CHI,11,0,7.7,1.0,2.1,.478,0.2,0.8,.222,0.8,1.3,.643,.522,0.5,0.8,.556,0.1,0.7,0.8,1.4,0.1,0.0,0.5,1.0,2.6,.391,23.9,0.0,-4.9,-1.5,10.5,0.0,.391,-3.4,1.3,0.1,9.8,0.6,15.6,6.0,.538,16.6,-0.1,0.1,.048
190,146,Sekou Doumbouya,PF,21,LAL,2,0,8.0,2.5,4.0,.625,0.5,1.0,.500,2.0,3.0,.667,.688,1.5,2.0,.750,1.0,2.0,3.0,0.0,1.5,1.0,1.0,0.5,7.0,.250,0.0,11.1,18.8,10.0,26.8,0.1,.500,8.8,13.5,0.0,40.7,9.0,17.0,20.2,.717,31.6,0.1,0.1,.300
191,147,Jeff Dowtin,PG,24,TOT,9,0,12.0,0.9,2.9,.308,0.1,1.0,.111,0.8,1.9,.412,.327,0.2,0.2,1.000,0.9,1.1,2.0,1.1,0.6,0.1,0.6,0.6,2.1,.346,12.7,0.9,-5.6,0.1,9.8,0.1,.077,-5.7,7.9,-0.1,6.8,2.2,15.7,8.9,.353,12.8,-0.1,0.0,-0.010
