,Name,CurrentSalary,CurrentTeam
5,Dwight Howard,"$2,641,691",LAL
6,Carmelo Anthony,"$2,641,691",LAL
7,Wayne Ellington,"$2,641,691",LAL
8,Avery Bradley,"$2,641,691",LAL
9,Kent Bazemore,"$2,401,537",LAL
10,Malik Monk,"$1,789,256",LAL
11,Austin Reaves,"$925,258",LAL
12,Stanley Johnson,"$888,616",LAL
13,D.J. Augustin,"$622,467",LAL
14,Wenyen Gabriel,"$29,814",LAL
18,Luol Deng,"$4,990,000",LAL
20,Trevor Ariza,"$2,641,691",LAL
0,Gary Harris,"$20,482,143",ORL
1,Jonathan Isaac,"$17,400,000",ORL
2,Markelle Fultz,"$16,500,000",ORL
3,Terrence Ross,"$12,500,000",ORL
4,Mo Bamba,"$7,568,742",ORL
5,Wendell Carter Jr.,"$6,920,027",ORL
6,Jalen Suggs,"$6,593,040",ORL
7,Franz Wagner,"$5,007,840",ORL
8,Robin Lopez,"$5,000,000",ORL
9,Cole Anthony,"$3,449,400",ORL
10,Chuma Okeke,"$3,277,080",ORL
11,R.J. Hampton,"$2,303,040",ORL
12,Bol Bol,"$2,161,152",ORL
13,Moritz Wagner,"$1,729,217",ORL
14,Devin Cannady,"$100,000",ORL
18,Timofey Mozgov,"$5,573,334",ORL
19,Michael Carter-Williams,"$3,000,000",ORL
20,E'Twaun Moore,"$2,641,691",ORL
21,PJ Dozier,"$1,910,860",ORL
0,John Wall,"$44,310,840",HOU
1,Eric Gordon,"$18,218,818",HOU
2,Christian Wood,"$13,666,667",HOU
3,Jalen Green,"$8,992,200",HOU
4,Dennis Schröder,"$5,890,000",HOU
5,David Nwaba,"$4,650,000",HOU
6,Alperen Şengün,"$3,214,680",HOU
7,Usman Garuba,"$2,353,320",HOU
8,Josh Christopher,"$2,259,240",HOU
9,Kevin Porter Jr.,"$2,130,240",HOU
10,Bruno Fernando,"$1,782,621",HOU
11,Jae'Sean Tate,"$1,517,981",HOU
12,Kenyon Martin Jr.,"$1,517,981",HOU
13,Garrison Mathews,"$1,093,598",HOU
14,Daishen Nix,"$292,466",HOU
19,Enes Freedom,"$2,641,691",HOU
